stamp,x,y,z,roll,pitch,yaw
1715322552.090750,1.000000,0.000000,0.000000,0.000000,0.000000,0.008727
1715322552.141220,1.999962,0.008727,0.000000,0.000000,0.000000,0.017453
1715322552.191539,2.999810,0.026179,0.000000,0.000000,0.000000,0.026180
1715322552.241931,3.999467,0.052356,0.000000,0.000000,0.000000,0.034907
1715322552.292288,4.998858,0.087255,0.000000,0.000000,0.000000,0.043633
1715322552.342595,5.997906,0.130875,0.000000,0.000000,0.000000,0.052360
1715322552.392923,6.996536,0.183211,0.000000,0.000000,0.000000,0.061087
1715322552.443330,7.994670,0.244259,0.000000,0.000000,0.000000,0.069813
1715322552.493816,8.992234,0.314016,0.000000,0.000000,0.000000,0.078540
1715322552.544493,9.989152,0.392475,0.000000,0.000000,0.000000,0.087266
1715322552.595038,10.985346,0.479631,0.000000,0.000000,0.000000,0.095993
1715322552.645639,11.980743,0.575476,0.000000,0.000000,0.000000,0.104720
1715322552.696055,12.975265,0.680005,0.000000,0.000000,0.000000,0.113446
1715322552.746526,13.968836,0.793208,0.000000,0.000000,0.000000,0.122173
1715322552.797173,14.961383,0.915077,0.000000,0.000000,0.000000,0.130900
1715322552.847626,15.952827,1.045604,0.000000,0.000000,0.000000,0.139626
1715322552.897946,16.943095,1.184777,0.000000,0.000000,0.000000,0.148353
1715322552.948435,17.932111,1.332586,0.000000,0.000000,0.000000,0.157080
1715322552.998887,18.919800,1.489021,0.000000,0.000000,0.000000,0.165806
1715322553.049357,19.906085,1.654068,0.000000,0.000000,0.000000,0.174533
1715322553.099703,20.890893,1.827716,0.000000,0.000000,0.000000,0.183260
1715322553.150066,21.874148,2.009952,0.000000,0.000000,0.000000,0.191986
1715322553.200464,22.855775,2.200761,0.000000,0.000000,0.000000,0.200713
1715322553.250849,23.835700,2.400129,0.000000,0.000000,0.000000,0.209440
1715322553.301250,24.813847,2.608040,0.000000,0.000000,0.000000,0.218166
1715322553.351884,25.790143,2.824480,0.000000,0.000000,0.000000,0.226893
1715322553.402257,26.764513,3.049431,0.000000,0.000000,0.000000,0.235619
1715322553.452978,27.736883,3.282876,0.000000,0.000000,0.000000,0.244346
1715322553.503598,28.707179,3.524798,0.000000,0.000000,0.000000,0.253073
1715322553.553939,29.675327,3.775178,0.000000,0.000000,0.000000,0.261799
1715322553.604399,30.641253,4.033997,0.000000,0.000000,0.000000,0.270526
1715322553.654801,31.604883,4.301236,0.000000,0.000000,0.000000,0.279253
1715322553.705277,32.566145,4.576873,0.000000,0.000000,0.000000,0.287979
1715322553.755900,33.524964,4.860889,0.000000,0.000000,0.000000,0.296706
1715322553.806283,34.481269,5.153260,0.000000,0.000000,0.000000,0.305433
1715322553.856791,35.434986,5.453966,0.000000,0.000000,0.000000,0.314159
1715322553.907228,36.386043,5.762983,0.000000,0.000000,0.000000,0.322886
1715322553.957675,37.334366,6.080288,0.000000,0.000000,0.000000,0.331613
1715322554.008156,38.279885,6.405856,0.000000,0.000000,0.000000,0.340339
1715322554.058617,39.222526,6.739663,0.000000,0.000000,0.000000,0.349066
1715322554.109102,40.162219,7.081683,0.000000,0.000000,0.000000,0.357792
1715322554.159453,41.098891,7.431890,0.000000,0.000000,0.000000,0.366519
1715322554.209919,42.032472,7.790258,0.000000,0.000000,0.000000,0.375246
1715322554.260520,42.962889,8.156759,0.000000,0.000000,0.000000,0.383972
1715322554.310913,43.890073,8.531366,0.000000,0.000000,0.000000,0.392699
1715322554.361250,44.813953,8.914049,0.000000,0.000000,0.000000,0.401426
1715322554.411703,45.734457,9.304781,0.000000,0.000000,0.000000,0.410152
1715322554.462049,46.651518,9.703530,0.000000,0.000000,0.000000,0.418879
1715322554.512476,47.565063,10.110266,0.000000,0.000000,0.000000,0.427606
1715322554.562875,48.475024,10.524959,0.000000,0.000000,0.000000,0.436332
1715322554.613294,49.381332,10.947578,0.000000,0.000000,0.000000,0.445059
1715322554.663763,50.283917,11.378089,0.000000,0.000000,0.000000,0.453786
1715322554.714092,51.182711,11.816460,0.000000,0.000000,0.000000,0.462512
1715322554.764505,52.077646,12.262658,0.000000,0.000000,0.000000,0.471239
1715322554.814958,52.968652,12.716648,0.000000,0.000000,0.000000,0.479966
1715322554.865351,53.855663,13.178397,0.000000,0.000000,0.000000,0.488692
1715322554.915888,54.738611,13.647868,0.000000,0.000000,0.000000,0.497419
1715322554.966323,55.617428,14.125027,0.000000,0.000000,0.000000,0.506145
1715322555.016770,56.492048,14.609837,0.000000,0.000000,0.000000,0.514872
1715322555.067191,57.362403,15.102260,0.000000,0.000000,0.000000,0.523599
1715322555.117649,58.228429,15.602260,0.000000,0.000000,0.000000,0.532325
1715322555.168135,59.090058,16.109799,0.000000,0.000000,0.000000,0.541052
1715322555.218582,59.947225,16.624837,0.000000,0.000000,0.000000,0.549779
1715322555.269241,60.799865,17.147335,0.000000,0.000000,0.000000,0.558505
1715322555.319709,61.647913,17.677255,0.000000,0.000000,0.000000,0.567232
1715322555.370154,62.491305,18.214554,0.000000,0.000000,0.000000,0.575959
1715322555.420686,63.329975,18.759193,0.000000,0.000000,0.000000,0.584685
1715322555.471146,64.163861,19.311130,0.000000,0.000000,0.000000,0.593412
1715322555.521678,64.992899,19.870323,0.000000,0.000000,0.000000,0.602139
1715322555.572140,65.817025,20.436729,0.000000,0.000000,0.000000,0.610865
1715322555.622589,66.636177,21.010306,0.000000,0.000000,0.000000,0.619592
1715322555.672881,67.450292,21.591009,0.000000,0.000000,0.000000,0.628319
1715322555.723252,68.259309,22.178794,0.000000,0.000000,0.000000,0.637045
1715322555.773724,69.063166,22.773617,0.000000,0.000000,0.000000,0.645772
