stamp,x,y,z,roll,pitch,yaw
1716368637.315738,1.000000,0.000000,0.000000,0.000000,0.000000,0.008727
1716368637.365846,1.999962,0.008727,0.000000,0.000000,0.000000,0.017453
1716368637.415950,2.999810,0.026179,0.000000,0.000000,0.000000,0.026180
1716368637.466054,3.999467,0.052356,0.000000,0.000000,0.000000,0.034907
1716368637.516156,4.998858,0.087255,0.000000,0.000000,0.000000,0.043633
1716368637.566266,5.997906,0.130875,0.000000,0.000000,0.000000,0.052360
1716368637.616431,6.996536,0.183211,0.000000,0.000000,0.000000,0.061087
1716368637.666646,7.994670,0.244259,0.000000,0.000000,0.000000,0.069813
1716368637.716823,8.992234,0.314016,0.000000,0.000000,0.000000,0.078540
1716368637.767030,9.989152,0.392475,0.000000,0.000000,0.000000,0.087266
1716368637.817188,10.985346,0.479631,0.000000,0.000000,0.000000,0.095993
1716368637.867336,11.980743,0.575476,0.000000,0.000000,0.000000,0.104720
1716368637.917456,12.975265,0.680005,0.000000,0.000000,0.000000,0.113446
1716368637.967580,13.968836,0.793208,0.000000,0.000000,0.000000,0.122173
1716368638.017705,14.961383,0.915077,0.000000,0.000000,0.000000,0.130900
1716368638.067826,15.952827,1.045604,0.000000,0.000000,0.000000,0.139626
1716368638.117956,16.943095,1.184777,0.000000,0.000000,0.000000,0.148353
1716368638.168113,17.932111,1.332586,0.000000,0.000000,0.000000,0.157080
1716368638.218322,18.919800,1.489021,0.000000,0.000000,0.000000,0.165806
1716368638.268451,19.906085,1.654068,0.000000,0.000000,0.000000,0.174533
1716368638.318607,20.890893,1.827716,0.000000,0.000000,0.000000,0.183260
1716368638.368759,21.874148,2.009952,0.000000,0.000000,0.000000,0.191986
1716368638.418914,22.855775,2.200761,0.000000,0.000000,0.000000,0.200713
1716368638.469018,23.835700,2.400129,0.000000,0.000000,0.000000,0.209440
1716368638.519116,24.813847,2.608040,0.000000,0.000000,0.000000,0.218166
1716368638.569226,25.790143,2.824480,0.000000,0.000000,0.000000,0.226893
1716368638.619383,26.764513,3.049431,0.000000,0.000000,0.000000,0.235619
1716368638.669547,27.736883,3.282876,0.000000,0.000000,0.000000,0.244346
1716368638.719716,28.707179,3.524798,0.000000,0.000000,0.000000,0.253073
1716368638.769872,29.675327,3.775178,0.000000,0.000000,0.000000,0.261799
1716368638.820022,30.641253,4.033997,0.000000,0.000000,0.000000,0.270526
1716368638.870182,31.604883,4.301236,0.000000,0.000000,0.000000,0.279253
1716368638.920333,32.566145,4.576873,0.000000,0.000000,0.000000,0.287979
1716368638.970445,33.524964,4.860889,0.000000,0.000000,0.000000,0.296706
1716368639.020558,34.481269,5.153260,0.000000,0.000000,0.000000,0.305433
1716368639.070663,35.434986,5.453966,0.000000,0.000000,0.000000,0.314159
1716368639.120772,36.386043,5.762983,0.000000,0.000000,0.000000,0.322886
1716368639.170882,37.334366,6.080288,0.000000,0.000000,0.000000,0.331613
1716368639.220993,38.279885,6.405856,0.000000,0.000000,0.000000,0.340339
1716368639.271157,39.222526,6.739663,0.000000,0.000000,0.000000,0.349066
1716368639.321268,40.162219,7.081683,0.000000,0.000000,0.000000,0.357792
1716368639.371420,41.098891,7.431890,0.000000,0.000000,0.000000,0.366519
1716368639.421556,42.032472,7.790258,0.000000,0.000000,0.000000,0.375246
1716368639.471731,42.962889,8.156759,0.000000,0.000000,0.000000,0.383972
1716368639.521889,43.890073,8.531366,0.000000,0.000000,0.000000,0.392699
1716368639.572038,44.813953,8.914049,0.000000,0.000000,0.000000,0.401426
1716368639.622138,45.734457,9.304781,0.000000,0.000000,0.000000,0.410152
1716368639.672252,46.651518,9.703530,0.000000,0.000000,0.000000,0.418879
1716368639.722409,47.565063,10.110266,0.000000,0.000000,0.000000,0.427606
1716368639.772569,48.475024,10.524959,0.000000,0.000000,0.000000,0.436332
1716368639.822742,49.381332,10.947578,0.000000,0.000000,0.000000,0.445059
1716368639.872866,50.283917,11.378089,0.000000,0.000000,0.000000,0.453786
1716368639.922987,51.182711,11.816460,0.000000,0.000000,0.000000,0.462512
1716368639.973131,52.077646,12.262658,0.000000,0.000000,0.000000,0.471239
1716368640.023236,52.968652,12.716648,0.000000,0.000000,0.000000,0.479966
1716368640.073370,53.855663,13.178397,0.000000,0.000000,0.000000,0.488692
1716368640.123509,54.738611,13.647868,0.000000,0.000000,0.000000,0.497419
1716368640.173622,55.617428,14.125027,0.000000,0.000000,0.000000,0.506145
1716368640.223706,56.492048,14.609837,0.000000,0.000000,0.000000,0.514872
1716368640.273818,57.362403,15.102260,0.000000,0.000000,0.000000,0.523599
1716368640.323923,58.228429,15.602260,0.000000,0.000000,0.000000,0.532325
1716368640.374032,59.090058,16.109799,0.000000,0.000000,0.000000,0.541052
1716368640.424141,59.947225,16.624837,0.000000,0.000000,0.000000,0.549779
1716368640.474254,60.799865,17.147335,0.000000,0.000000,0.000000,0.558505
1716368640.524453,61.647913,17.677255,0.000000,0.000000,0.000000,0.567232
1716368640.574606,62.491305,18.214554,0.000000,0.000000,0.000000,0.575959
1716368640.624786,63.329975,18.759193,0.000000,0.000000,0.000000,0.584685
1716368640.674923,64.163861,19.311130,0.000000,0.000000,0.000000,0.593412
1716368640.725015,64.992899,19.870323,0.000000,0.000000,0.000000,0.602139
1716368640.775125,65.817025,20.436729,0.000000,0.000000,0.000000,0.610865
1716368640.825253,66.636177,21.010306,0.000000,0.000000,0.000000,0.619592
1716368640.875380,67.450292,21.591009,0.000000,0.000000,0.000000,0.628319
1716368640.925504,68.259309,22.178794,0.000000,0.000000,0.000000,0.637045
1716368640.975632,69.063166,22.773617,0.000000,0.000000,0.000000,0.645772
1716368641.025750,69.861802,23.375432,0.000000,0.000000,0.000000,0.654498
1716368641.075875,70.655155,23.984193,0.000000,0.000000,0.000000,0.663225
1716368641.126005,71.443166,24.599855,0.000000,0.000000,0.000000,0.671952
1716368641.176142,72.225774,25.222369,0.000000,0.000000,0.000000,0.680678
1716368641.226268,73.002920,25.851690,0.000000,0.000000,0.000000,0.689405
1716368641.276400,73.774545,26.487768,0.000000,0.000000,0.000000,0.698132
1716368641.326524,74.540589,27.130556,0.000000,0.000000,0.000000,0.706858
1716368641.376613,75.300995,27.780004,0.000000,0.000000,0.000000,0.715585
1716368641.426733,76.055705,28.436063,0.000000,0.000000,0.000000,0.724312
1716368641.476862,76.804660,29.098683,0.000000,0.000000,0.000000,0.733038
1716368641.526980,77.547805,29.767813,0.000000,0.000000,0.000000,0.741765
1716368641.577105,78.285083,30.443404,0.000000,0.000000,0.000000,0.750492
1716368641.627203,79.016436,31.125402,0.000000,0.000000,0.000000,0.759218
1716368641.677315,79.741811,31.813757,0.000000,0.000000,0.000000,0.767945
1716368641.727451,80.461150,32.508415,0.000000,0.000000,0.000000,0.776672
1716368641.777560,81.174401,33.209324,0.000000,0.000000,0.000000,0.785398
1716368641.827692,81.881508,33.916431,0.000000,0.000000,0.000000,0.794125
1716368641.877820,82.582417,34.629681,0.000000,0.000000,0.000000,0.802851
1716368641.927961,83.277075,35.349021,0.000000,0.000000,0.000000,0.811578
1716368641.978087,83.965430,36.074396,0.000000,0.000000,0.000000,0.820305
1716368642.028209,84.647428,36.805749,0.000000,0.000000,0.000000,0.829031
1716368642.078344,85.323018,37.543027,0.000000,0.000000,0.000000,0.837758
1716368642.128457,85.992149,38.286171,0.000000,0.000000,0.000000,0.846485
1716368642.178601,86.654769,39.035127,0.000000,0.000000,0.000000,0.855211
1716368642.228720,87.310828,39.789837,0.000000,0.000000,0.000000,0.863938
1716368642.278829,87.960276,40.550243,0.000000,0.000000,0.000000,0.872665
1716368642.328961,88.603064,41.316287,0.000000,0.000000,0.000000,0.881391
1716368642.379070,89.239142,42.087912,0.000000,0.000000,0.000000,0.890118
1716368642.429205,89.868462,42.865058,0.000000,0.000000,0.000000,0.898845
1716368642.479317,90.490977,43.647666,0.000000,0.000000,0.000000,0.907571
1716368642.529424,91.106638,44.435677,0.000000,0.000000,0.000000,0.916298
1716368642.579534,91.715400,45.229030,0.000000,0.000000,0.000000,0.925025
1716368642.629642,92.317215,46.027665,0.000000,0.000000,0.000000,0.933751
1716368642.679773,92.912038,46.831522,0.000000,0.000000,0.000000,0.942478
1716368642.729908,93.499823,47.640539,0.000000,0.000000,0.000000,0.951204
1716368642.780024,94.080526,48.454655,0.000000,0.000000,0.000000,0.959931
1716368642.830154,94.654102,49.273807,0.000000,0.000000,0.000000,0.968658
